"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 15 11:15:27 GMT 2023","Sat Jul 15 11:15:28 GMT 2023","876","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldMenuTest","Проверка отображения главного меню",""
"broken","Sat Jul 15 11:15:26 GMT 2023","Sat Jul 15 11:15:27 GMT 2023","965","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldCreateShopButtonTest","Проверка кнопки Создать магазин",""
"broken","Sat Jul 15 11:15:22 GMT 2023","Sat Jul 15 11:15:22 GMT 2023","49","","API тесты","","com.example.shop.api.tests.ShopApiTest","deleteShopTest","Удаление одного магазина",""
"broken","Sat Jul 15 11:15:19 GMT 2023","Sat Jul 15 11:15:22 GMT 2023","2263","","API тесты","","com.example.shop.api.tests.ShopApiTest","addShopTest","Создание одного магазина",""
"broken","Sat Jul 15 11:15:37 GMT 2023","Sat Jul 15 11:15:37 GMT 2023","0","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldAddShopWithLowerCaseName","Создание магазина с именем - нижний регистр",""
"broken","Sat Jul 15 11:15:37 GMT 2023","Sat Jul 15 11:15:37 GMT 2023","1","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldGetNotCreateShop","Получение несуществующего магазина",""
"broken","Sat Jul 15 11:15:29 GMT 2023","Sat Jul 15 11:15:30 GMT 2023","862","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldRefreshShopTest","Проверка кнопки refresh",""
"broken","Sat Jul 15 11:15:22 GMT 2023","Sat Jul 15 11:15:26 GMT 2023","3471","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldEmptyDeleteShopTest","Проверка отображения ошибки при удалении магазина без ID",""
"broken","Sat Jul 15 11:15:22 GMT 2023","Sat Jul 15 11:15:22 GMT 2023","48","","API тесты","","com.example.shop.api.tests.ShopApiTest","getShopTest","Получение одного магазина",""
"broken","Sat Jul 15 11:15:37 GMT 2023","Sat Jul 15 11:15:37 GMT 2023","0","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldAddShopWith6Name","Создание магазина с именем - 6 символов",""
"broken","Sat Jul 15 11:15:22 GMT 2023","Sat Jul 15 11:15:22 GMT 2023","110","","API тесты","","com.example.shop.api.tests.ShopApiTest","getAllShopsTest","Получение списка всех магазинов",""
"broken","Sat Jul 15 11:15:30 GMT 2023","Sat Jul 15 11:15:31 GMT 2023","871","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldLogoAndTitleTest","Проверка отображения логотипа и главного заголовка",""
"broken","Sat Jul 15 11:15:31 GMT 2023","Sat Jul 15 11:15:32 GMT 2023","904","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldVKButtonTest","Проверка кнопки VK",""
