"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 15 11:39:34 GMT 2023","Sat Jul 15 11:39:35 GMT 2023","975","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldCreateShopButtonTest","Проверка кнопки Создать магазин",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","0","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","deleteShop","Удаление несуществующего магазина",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","2","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldGetOneShop","Получение существующего магазина",""
"broken","Sat Jul 15 11:39:43 GMT 2023","Sat Jul 15 11:39:44 GMT 2023","876","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldErrorShopTest","Проверка отображения ошибки при некорректном названии магазина",""
"broken","Sat Jul 15 11:39:35 GMT 2023","Sat Jul 15 11:39:36 GMT 2023","907","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldAllShopButtonTest","Проверка кнопки Все магазины",""
"broken","Sat Jul 15 11:39:41 GMT 2023","Sat Jul 15 11:39:42 GMT 2023","892","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldCreatePublicShopTest","Проверка кнопки Создать магазин - публичный",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","1","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldAddShopWithLowerCaseName","Создание магазина с именем - нижний регистр",""
"broken","Sat Jul 15 11:39:40 GMT 2023","Sat Jul 15 11:39:40 GMT 2023","886","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldVKButtonTest","Проверка кнопки VK",""
"broken","Sat Jul 15 11:39:27 GMT 2023","Sat Jul 15 11:39:30 GMT 2023","2546","","API тесты","","com.example.shop.api.tests.ShopApiTest","addShopTest","Создание одного магазина",""
"broken","Sat Jul 15 11:39:30 GMT 2023","Sat Jul 15 11:39:30 GMT 2023","38","","API тесты","","com.example.shop.api.tests.ShopApiTest","deleteShopTest","Удаление одного магазина",""
"broken","Sat Jul 15 11:39:37 GMT 2023","Sat Jul 15 11:39:38 GMT 2023","915","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldDeleteShopButtonTest","Проверка кнопки Удалить магазин",""
"broken","Sat Jul 15 11:39:31 GMT 2023","Sat Jul 15 11:39:34 GMT 2023","3546","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldEmptyDeleteShopTest","Проверка отображения ошибки при удалении магазина без ID",""
"broken","Sat Jul 15 11:39:40 GMT 2023","Sat Jul 15 11:39:41 GMT 2023","917","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldDeleteShopTest","Проверка кнопки Удалить магазин",""
"broken","Sat Jul 15 11:39:39 GMT 2023","Sat Jul 15 11:39:40 GMT 2023","878","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldLogoAndTitleTest","Проверка отображения логотипа и главного заголовка",""
"broken","Sat Jul 15 11:39:30 GMT 2023","Sat Jul 15 11:39:30 GMT 2023","42","","API тесты","","com.example.shop.api.tests.ShopApiTest","getShopTest","Получение одного магазина",""
"broken","Sat Jul 15 11:39:42 GMT 2023","Sat Jul 15 11:39:43 GMT 2023","909","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldValidCreateShopTest","Проверка кнопки Создать магазин",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","1","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldGetNotCreateShop","Получение несуществующего магазина",""
"broken","Sat Jul 15 11:39:44 GMT 2023","Sat Jul 15 11:39:45 GMT 2023","881","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldTelegramButtonTest","Проверка кнопки Telegram",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","0","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldGetAllShops","Получение всех магазинов",""
"broken","Sat Jul 15 11:39:30 GMT 2023","Sat Jul 15 11:39:30 GMT 2023","82","","API тесты","","com.example.shop.api.tests.ShopApiTest","getAllShopsTest","Получение списка всех магазинов",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","1","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldAddShopWith7Name","Создание магазина с именем - 7 символов",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","0","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldAddShopWith6Name","Создание магазина с именем - 6 символов",""
"broken","Sat Jul 15 11:39:38 GMT 2023","Sat Jul 15 11:39:39 GMT 2023","886","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldRefreshShopTest","Проверка кнопки refresh",""
"broken","Sat Jul 15 11:39:36 GMT 2023","Sat Jul 15 11:39:37 GMT 2023","922","","UI тесты","","com.example.shop.ui.tests.ShopUiTests","shouldMenuTest","Проверка отображения главного меню",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","2","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldShopWithAllSymbolsName","Создание магазина с именем - разные спец символы",""
"broken","Sat Jul 15 11:39:46 GMT 2023","Sat Jul 15 11:39:46 GMT 2023","2","","UNIT тесты","","com.example.shop.unit.ShopApplicationTests","shouldAddShopWith256Name","Создание магазина с именем - 256 символов",""
